ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Rajshahi/Rangpur,7427196,Women who want no more children,89.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360007,1360070,Region,Rajshahi/Rangpur,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360007,1993-94,DHS,,237,,,1
BGD,Barishal,5404892,Mean ideal number of children for all women,2.5,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360001,1360010,Region,Barishal,0,,0,1,PRMIDLWMNA,BDDHS1994360001,1993-94,DHS,554,919,,,1
BGD,Chattogram/Sylhet,7135353,Mean ideal number of children for all women,2.8,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,PRMIDLWMNA,BDDHS1994360002,1993-94,DHS,2001,1591,,,1
BGD,Chattogram,4275236,Mean ideal number of children for all women,2.8,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360003,1360030,Region,..Chattogram,0,,0,1,PRMIDLWMNA,BDDHS1994360003,1993-94,DHS,2001,1591,,,
BGD,Dhaka before 2015,419364,Mean ideal number of children for all women,2.5,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,PRMIDLWMNA,BDDHS1994360005,1993-94,DHS,2649,2482,,,1
BGD,Khulna,5021081,Mean ideal number of children for all women,2.3,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360006,1360060,Region,Khulna,0,,0,1,PRMIDLWMNA,BDDHS1994360006,1993-94,DHS,1142,1179,,,1
BGD,Rajshahi/Rangpur,3013778,Mean ideal number of children for all women,2.4,1,BD,Bangladesh,1994,BD1994DHS,PR_MIDL_W_MNA,22263010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,PRMIDLWMNA,BDDHS1994360007,1993-94,DHS,2109,2357,,,1
BGD,Barishal,1090772,Total wanted fertility rate,2.1,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360001,1360010,Region,Barishal,0,,0,1,PRWTFRWWFR,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1083817,Total wanted fertility rate,2.6,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,PRWTFRWWFR,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1067760,Total wanted fertility rate,2.6,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360003,1360030,Region,..Chattogram,0,,0,1,PRWTFRWWFR,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1067754,Total wanted fertility rate,2.2,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,PRWTFRWWFR,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1067763,Total wanted fertility rate,1.9,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360006,1360060,Region,Khulna,0,,0,1,PRWTFRWWFR,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399305,Total wanted fertility rate,1.9,1,BD,Bangladesh,1994,BD1994DHS,PR_WTFR_W_WFR,22333010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,PRWTFRWWFR,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,7234047,Married women currently using any method of contraception,48,1,BD,Bangladesh,1994,BD1994DHS,FP_CUSM_W_ANY,32633010,I,360001,1360010,Region,Barishal,0,,0,1,FPCUSMWANY,BDDHS1994360001,1993-94,DHS,561,931,,,1
