ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Chattogram/Sylhet,7076326,Women with moderate anemia,14.9,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,ANANEMWMOD,BDDHS2011360002,2011,DHS,1301,1562,,,
BGD,Chattogram,3354589,Women with moderate anemia,14.2,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360003,1360030,Region,..Chattogram,0,,0,1,ANANEMWMOD,BDDHS2011360003,2011,DHS,991,888,,,1
BGD,Sylhet,1290472,Women with moderate anemia,17,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360004,1360040,Region,..Sylhet,0,,0,1,ANANEMWMOD,BDDHS2011360004,2011,DHS,310,674,,,1
BGD,Dhaka before 2015,7130534,Women with moderate anemia,16.8,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,ANANEMWMOD,BDDHS2011360005,2011,DHS,1850,982,,,1
BGD,Khulna,4487340,Women with moderate anemia,14.4,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360006,1360060,Region,Khulna,0,,0,1,ANANEMWMOD,BDDHS2011360006,2011,DHS,708,872,,,1
BGD,Rajshahi/Rangpur,38272,Women with moderate anemia,18.6,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,ANANEMWMOD,BDDHS2011360007,2011,DHS,1511,1622,,,
BGD,Rangpur,1282863,Women with moderate anemia,19.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360008,1360080,Region,..Rangpur,0,,0,1,ANANEMWMOD,BDDHS2011360008,2011,DHS,664,791,,,1
BGD,Rajshahi,7033597,Women with moderate anemia,17.7,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_MOD,114603030,I,360009,1360090,Region,..Rajshahi,0,,0,1,ANANEMWMOD,BDDHS2011360009,2011,DHS,847,831,,,1
BGD,Barishal,1297401,Women with severe anemia,0,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_SEV,114603040,I,360001,1360010,Region,Barishal,0,,0,1,ANANEMWSEV,BDDHS2011360001,2011,DHS,306,628,,,1
BGD,Chattogram/Sylhet,7076327,Women with severe anemia,0.6,1,BD,Bangladesh,2011,BD2011DHS,AN_ANEM_W_SEV,114603040,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,ANANEMWSEV,BDDHS2011360002,2011,DHS,1301,1562,,,
